Release 11.1 - par L.33 (lin)
Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

Fri Apr  9 15:26:36 2010


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       leon3mp.ncd
OUTPUT FILE:      leon3mp_pad.txt
PART TYPE:        xc3s1600e
SPEED GRADE:      -4
PACKAGE:          fg320

Pinout by Pin Number:

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                 |Direction    |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
|C15       |           |IBUF     |IP                       |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|C16       |           |         |TDO                      |             |           |              |          |         |           |         |       |          |           |                |
|C17       |byten      |IOB      |IO_L24N_1/LDC2           |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|C18       |oen        |IOB      |IO_L24P_1/LDC1           |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|D1        |ddr_web    |IOB      |IO_L02P_3                |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|D2        |           |DIFFS    |IO_L02N_3/VREF_3         |VREF Required|           |3             |          |         |           |         |1.25   |PROHIBITED|           |                |
|D3        |           |IBUF     |IP                       |UNUSED       |           |3             |          |         |           |         |       |          |           |                |
|D4        |           |DIFFS    |IO                       |UNUSED       |           |3             |          |         |           |         |       |          |           |                |
|D5        |           |DIFFS    |IO_L23N_0/VREF_0         |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|D6        |led(3)     |IOB      |IO_L21P_0                |OUTPUT       |LVTTL      |0             |8         |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|D7        |           |DIFFS    |IO_L18N_0/VREF_0         |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|D8        |           |DIFFSI   |IP_L16N_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|D9        |           |DIFFS    |IO_L14N_0/GCLK11         |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
